match_number,team,player_name,career_ipl_matches_before_match
9,Rajasthan Royals,V Suryavanshi,8
9,Rajasthan Royals,Dhruv Jurel,42
9,Rajasthan Royals,R Parag,84
9,Rajasthan Royals,SO Hetmyer,87
9,Rajasthan Royals,D Ferreira,3
9,Rajasthan Royals,RA Jadeja,254
9,Rajasthan Royals,JC Archer,53
9,Rajasthan Royals,N Burger,6
9,Rajasthan Royals,TU Deshpande,46
9,Rajasthan Royals,Sandeep Sharma,137
9,Gujarat Titans,M Prasidh Krishna,67
9,Gujarat Titans,B Sai Sudharsan,41
9,Gujarat Titans,Kumar Kushagra,4
9,Gujarat Titans,JC Buttler,122
9,Gujarat Titans,GD Phillips,9
9,Gujarat Titans,Washington Sundar,67
9,Gujarat Titans,R Tewatia,109
9,Gujarat Titans,M Shahrukh Khan,56
9,Gujarat Titans,Rashid Khan,137
9,Gujarat Titans,K Rabada,85
9,Gujarat Titans,Ashok Sharma,1
9,Gujarat Titans,Mohammed Siraj,109
10,Sunrisers Hyderabad,E Malinga,9
10,Sunrisers Hyderabad,TM Head,40
10,Sunrisers Hyderabad,Abhishek Sharma,79
10,Sunrisers Hyderabad,Ishan Kishan,121
10,Sunrisers Hyderabad,LS Livingstone,49
10,Sunrisers Hyderabad,H Klaasen,51
10,Sunrisers Hyderabad,Nithish Kumar Reddy,30
10,Sunrisers Hyderabad,Aniket Verma,16
10,Sunrisers Hyderabad,Harsh Dubey,5
10,Sunrisers Hyderabad,Shivang Kumar,1
10,Sunrisers Hyderabad,HV Patel,119
10,Sunrisers Hyderabad,JD Unadkat,114
10,Lucknow Super Giants,Mohammed Shami,120
10,Lucknow Super Giants,AK Markram,58
10,Lucknow Super Giants,MR Marsh,56
10,Lucknow Super Giants,RR Pant,126
10,Lucknow Super Giants,A Badoni,57
10,Lucknow Super Giants,N Pooran,91
10,Lucknow Super Giants,Abdul Samad,64
10,Lucknow Super Giants,MD Choudhary,1
10,Lucknow Super Giants,M Siddharth,5
10,Lucknow Super Giants,Avesh Khan,75
10,Lucknow Super Giants,DS Rathi,13
10,Lucknow Super Giants,Prince Yadav,7
11,Royal Challengers Bengaluru,Suyash Sharma,28
11,Royal Challengers Bengaluru,PD Salt,35
11,Royal Challengers Bengaluru,V Kohli,267
11,Royal Challengers Bengaluru,D Padikkal,75
11,Royal Challengers Bengaluru,RM Patidar,43
11,Royal Challengers Bengaluru,TH David,51
11,Royal Challengers Bengaluru,JM Sharma,56
11,Royal Challengers Bengaluru,R Shepherd,19
11,Royal Challengers Bengaluru,KH Pandya,143
11,Royal Challengers Bengaluru,B Kumar,191
11,Royal Challengers Bengaluru,Abhinandan Singh,1
11,Royal Challengers Bengaluru,JA Duffy,1
11,Chennai Super Kings,KK Ahmed,73
11,Chennai Super Kings,SV Samson,178
11,Chennai Super Kings,RD Gaikwad,73
11,Chennai Super Kings,A Mhatre,9
11,Chennai Super Kings,SN Khan,52
11,Chennai Super Kings,Kartik Sharma,2
11,Chennai Super Kings,S Dube,81
11,Chennai Super Kings,PR Veer,1
11,Chennai Super Kings,J Overton,4
11,Chennai Super Kings,A Kamboj,13
11,Chennai Super Kings,Noor Ahmad,39
11,Chennai Super Kings,MJ Henry,8
12,Kolkata Knight Riders,AM Rahane,200
12,Kolkata Knight Riders,FH Allen,2
12,Kolkata Knight Riders,C Green,31
12,Kolkata Knight Riders,A Raghuvanshi,24
12,Kolkata Knight Riders,R Powell,28
12,Kolkata Knight Riders,RK Singh,60
12,Kolkata Knight Riders,Ramandeep Singh,32
12,Kolkata Knight Riders,AS Roy,13
12,Kolkata Knight Riders,Navdeep Saini,31
12,Kolkata Knight Riders,VG Arora,34
12,Kolkata Knight Riders,Kartik Tyagi,22
12,Kolkata Knight Riders,Kolkata Knight Riders Substitute 12,226
12,Punjab Kings,SS Iyer,135
12,Punjab Kings,P Simran Singh,54
12,Punjab Kings,N Wadhera,39
12,Punjab Kings,C Connolly,2
12,Punjab Kings,Shashank Singh,44
12,Punjab Kings,MP Stoinis,112
12,Punjab Kings,M Jansen,38
12,Punjab Kings,Vijaykumar Vyshak,18
12,Punjab Kings,XC Bartlett,6
12,Punjab Kings,Arshdeep Singh,85
12,Punjab Kings,YS Chahal,177
12,Punjab Kings,Punjab Kings Substitute 12,29
13,Rajasthan Royals,Ravi Bishnoi,79
13,Rajasthan Royals,YBK Jaiswal,68
13,Rajasthan Royals,V Suryavanshi,9
13,Rajasthan Royals,Dhruv Jurel,43
13,Rajasthan Royals,R Parag,85
13,Rajasthan Royals,SO Hetmyer,88
13,Rajasthan Royals,RA Jadeja,255
13,Rajasthan Royals,D Ferreira,4
13,Rajasthan Royals,JC Archer,54
13,Rajasthan Royals,N Burger,7
13,Rajasthan Royals,TU Deshpande,47
13,Rajasthan Royals,Sandeep Sharma,138
13,Mumbai Indians,AM Ghazanfar,1
