match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
7,Chennai Super Kings,RD Gaikwad,2,1,0,0,3
7,Chennai Super Kings,A Mhatre,3,0,0,0,4
7,Chennai Super Kings,S Dube,4,0,0,0,5
7,Chennai Super Kings,Kartik Sharma,5,0,0,0,6
7,Chennai Super Kings,SN Khan,6,0,0,0,7
7,Chennai Super Kings,PR Veer,7,0,0,0,8
7,Chennai Super Kings,Noor Ahmad,,0,0,0,9
7,Chennai Super Kings,A Kamboj,,0,0,0,10
7,Chennai Super Kings,MJ Henry,,0,0,0,11
7,Chennai Super Kings,KK Ahmed,,0,0,1,12
7,Punjab Kings,YS Chahal,,0,0,0,1
7,Punjab Kings,Priyansh Arya,1,0,0,0,2
7,Punjab Kings,P Simran Singh,2,0,1,0,3
7,Punjab Kings,C Connolly,3,0,0,0,4
7,Punjab Kings,SS Iyer,4,1,0,0,5
7,Punjab Kings,N Wadhera,5,0,0,0,6
7,Punjab Kings,Shashank Singh,6,0,0,0,7
7,Punjab Kings,MP Stoinis,7,0,0,0,8
7,Punjab Kings,M Jansen,,0,0,0,9
7,Punjab Kings,XC Bartlett,,0,0,0,10
7,Punjab Kings,Vijaykumar Vyshak,,0,0,0,11
7,Punjab Kings,Arshdeep Singh,,0,0,1,12
8,Mumbai Indians,M Markande,,0,0,0,1
8,Mumbai Indians,RD Rickelton,1,0,0,0,2
8,Mumbai Indians,RG Sharma,2,0,0,0,3
8,Mumbai Indians,Tilak Varma,3,0,0,0,4
8,Mumbai Indians,SA Yadav,4,0,0,0,5
8,Mumbai Indians,SE Rutherford,5,0,0,0,6
8,Mumbai Indians,Naman Dhir,6,0,0,0,7
8,Mumbai Indians,MJ Santner,7,0,0,0,8
8,Mumbai Indians,C Bosch,8,0,0,0,9
8,Mumbai Indians,SN Thakur,,0,0,0,10
8,Mumbai Indians,DL Chahar,,0,0,0,11
8,Mumbai Indians,JJ Bumrah,,0,0,1,12
8,Delhi Capitals,Mukesh Kumar,,0,0,0,1
8,Delhi Capitals,KL Rahul,1,1,1,0,2
8,Delhi Capitals,P Nissanka,2,0,0,0,3
8,Delhi Capitals,N Rana,3,0,0,0,4
8,Delhi Capitals,Sameer Rizvi,4,0,0,0,5
8,Delhi Capitals,DA Miller,5,0,0,0,6
8,Delhi Capitals,T Stubbs,6,0,0,0,7
8,Delhi Capitals,V Nigam,,0,0,0,8
8,Delhi Capitals,AR Patel,,1,0,0,9
8,Delhi Capitals,Kuldeep Yadav,,0,0,0,10
8,Delhi Capitals,L Ngidi,,0,0,0,11
8,Delhi Capitals,T Natarajan,,0,0,1,12
9,Rajasthan Royals,Ravi Bishnoi,,0,0,0,1
9,Rajasthan Royals,YBK Jaiswal,1,0,0,0,2
9,Rajasthan Royals,V Suryavanshi,2,0,0,0,3
9,Rajasthan Royals,Dhruv Jurel,3,0,1,0,4
9,Rajasthan Royals,R Parag,4,1,0,0,5
9,Rajasthan Royals,SO Hetmyer,5,0,0,0,6
9,Rajasthan Royals,D Ferreira,6,0,0,0,7
9,Rajasthan Royals,RA Jadeja,7,0,0,0,8
9,Rajasthan Royals,JC Archer,8,0,0,0,9
9,Rajasthan Royals,N Burger,,0,0,0,10
9,Rajasthan Royals,TU Deshpande,,0,0,0,11
9,Rajasthan Royals,Sandeep Sharma,,0,0,1,12
9,Gujarat Titans,M Prasidh Krishna,,0,0,0,1
9,Gujarat Titans,B Sai Sudharsan,1,0,0,0,2
9,Gujarat Titans,Kumar Kushagra,2,0,1,0,3
